ic_level,marker_clarity,phen_caution,mean_intervention,expected_harm,disturbance_rate,excavation_rate,avoidance_rate,mean_caution,mean_curiosity
0.15,0.20833333333333331,0.375,0.33666934197422316,0.08409622894738909,0.0003,0.0,0.18588,0.33794576299892076,0.5081478342000257
0.15,0.20833333333333331,0.41666666666666663,0.32607687531006546,0.08145068687853801,0.0001,0.0,0.21172,0.35877909633225413,0.5081478342000257
0.15,0.20833333333333331,0.4583333333333333,0.31548440864590777,0.07880514480968692,0.0,0.0,0.24118,0.3796124296655874,0.5081478342000257
0.15,0.20833333333333331,0.5,0.30489194198175007,0.07615960274083583,0.0,0.0,0.27489,0.40044576299892076,0.5081478342000257
0.15,0.20833333333333331,0.5416666666666666,0.29429947531759243,0.07351406067198474,0.0,0.0,0.31249,0.42127909633225413,0.5081478342000257
0.15,0.20833333333333331,0.5833333333333333,0.28370700865343473,0.07086851860313365,0.0,0.0,0.3555,0.4421124296655874,0.5081478342000257
0.15,0.20833333333333331,0.625,0.27311454198927704,0.06822297653428255,0.0,0.0,0.40116,0.46294576299892076,0.5081478342000257
0.15,0.20833333333333331,0.6666666666666666,0.26252207532511934,0.06557743446543146,0.0,0.0,0.45262,0.48377909633225413,0.5081478342000257
0.15,0.20833333333333331,0.7083333333333333,0.2519296086609617,0.06293189239658037,0.0,0.0,0.50758,0.5046124296655874,0.5081478342000257
0.15,0.20833333333333331,0.75,0.24133714199680398,0.06028635032772928,0.0,0.0,0.56667,0.5254457629989208,0.5081478342000257
0.15,0.20833333333333331,0.7916666666666666,0.23074467533264637,0.057640808258878184,0.0,0.0,0.62591,0.5462790963322541,0.5081478342000257
0.15,0.20833333333333331,0.8333333333333333,0.22015220866848867,0.054995266190027106,0.0,0.0,0.687,0.5671124296655874,0.5081478342000257
0.15,0.20833333333333331,0.875,0.20955974200433097,0.05234972412117601,0.0,0.0,0.74557,0.5879457629989208,0.5081478342000257
0.15,0.20833333333333331,0.9166666666666666,0.19896727534017333,0.04970418205232493,0.0,0.0,0.79991,0.608779096332254,0.5081478342000257
