variable,value,outcome,fraction
interpretive_capacity,0.16666666666666666,EXCAVATE,0.0
interpretive_capacity,0.20833333333333331,AVOID,0.34892
interpretive_capacity,0.20833333333333331,OBSERVE,0.62449
interpretive_capacity,0.20833333333333331,PRESERVE,0.02659
interpretive_capacity,0.20833333333333331,INVESTIGATE,0.0
interpretive_capacity,0.20833333333333331,EXCAVATE,0.0
interpretive_capacity,0.25,AVOID,0.36697
interpretive_capacity,0.25,OBSERVE,0.61084
interpretive_capacity,0.25,PRESERVE,0.02219
interpretive_capacity,0.25,INVESTIGATE,0.0
interpretive_capacity,0.25,EXCAVATE,0.0
interpretive_capacity,0.29166666666666663,AVOID,0.38609
interpretive_capacity,0.29166666666666663,OBSERVE,0.59589
interpretive_capacity,0.29166666666666663,PRESERVE,0.01802
interpretive_capacity,0.29166666666666663,INVESTIGATE,0.0
interpretive_capacity,0.29166666666666663,EXCAVATE,0.0
interpretive_capacity,0.3333333333333333,AVOID,0.40639
interpretive_capacity,0.3333333333333333,OBSERVE,0.57883
interpretive_capacity,0.3333333333333333,PRESERVE,0.01478
interpretive_capacity,0.3333333333333333,INVESTIGATE,0.0
interpretive_capacity,0.3333333333333333,EXCAVATE,0.0
interpretive_capacity,0.375,AVOID,0.42732
interpretive_capacity,0.375,OBSERVE,0.56116
interpretive_capacity,0.375,PRESERVE,0.01152
interpretive_capacity,0.375,INVESTIGATE,0.0
interpretive_capacity,0.375,EXCAVATE,0.0
interpretive_capacity,0.41666666666666663,AVOID,0.44969
interpretive_capacity,0.41666666666666663,OBSERVE,0.54157
interpretive_capacity,0.41666666666666663,PRESERVE,0.00874
interpretive_capacity,0.41666666666666663,INVESTIGATE,0.0
interpretive_capacity,0.41666666666666663,EXCAVATE,0.0
interpretive_capacity,0.4583333333333333,AVOID,0.47197
interpretive_capacity,0.4583333333333333,OBSERVE,0.52141
interpretive_capacity,0.4583333333333333,PRESERVE,0.00662
interpretive_capacity,0.4583333333333333,INVESTIGATE,0.0
interpretive_capacity,0.4583333333333333,EXCAVATE,0.0
interpretive_capacity,0.5,AVOID,0.49514
interpretive_capacity,0.5,OBSERVE,0.49969
interpretive_capacity,0.5,PRESERVE,0.00517
interpretive_capacity,0.5,INVESTIGATE,0.0
interpretive_capacity,0.5,EXCAVATE,0.0
interpretive_capacity,0.5416666666666666,AVOID,0.52018
interpretive_capacity,0.5416666666666666,OBSERVE,0.47604
interpretive_capacity,0.5416666666666666,PRESERVE,0.00378
interpretive_capacity,0.5416666666666666,INVESTIGATE,0.0
interpretive_capacity,0.5416666666666666,EXCAVATE,0.0
interpretive_capacity,0.5833333333333333,AVOID,0.54499
interpretive_capacity,0.5833333333333333,OBSERVE,0.45211
interpretive_capacity,0.5833333333333333,PRESERVE,0.0029
interpretive_capacity,0.5833333333333333,INVESTIGATE,0.0
interpretive_capacity,0.5833333333333333,EXCAVATE,0.0
interpretive_capacity,0.625,AVOID,0.56933
interpretive_capacity,0.625,OBSERVE,0.42863
interpretive_capacity,0.625,PRESERVE,0.00204
interpretive_capacity,0.625,INVESTIGATE,0.0
interpretive_capacity,0.625,EXCAVATE,0.0
interpretive_capacity,0.6666666666666666,AVOID,0.59493
interpretive_capacity,0.6666666666666666,OBSERVE,0.4036
interpretive_capacity,0.6666666666666666,PRESERVE,0.00147
interpretive_capacity,0.6666666666666666,INVESTIGATE,0.0
interpretive_capacity,0.6666666666666666,EXCAVATE,0.0
interpretive_capacity,0.7083333333333333,AVOID,0.6195
interpretive_capacity,0.7083333333333333,OBSERVE,0.37943
interpretive_capacity,0.7083333333333333,PRESERVE,0.00107
interpretive_capacity,0.7083333333333333,INVESTIGATE,0.0
interpretive_capacity,0.7083333333333333,EXCAVATE,0.0
interpretive_capacity,0.75,AVOID,0.64563
interpretive_capacity,0.75,OBSERVE,0.35368
interpretive_capacity,0.75,PRESERVE,0.00069
interpretive_capacity,0.75,INVESTIGATE,0.0
interpretive_capacity,0.75,EXCAVATE,0.0
interpretive_capacity,0.7916666666666666,AVOID,0.67076
interpretive_capacity,0.7916666666666666,OBSERVE,0.3288
interpretive_capacity,0.7916666666666666,PRESERVE,0.00044
interpretive_capacity,0.7916666666666666,INVESTIGATE,0.0
interpretive_capacity,0.7916666666666666,EXCAVATE,0.0
interpretive_capacity,0.8333333333333333,AVOID,0.69595
interpretive_capacity,0.8333333333333333,OBSERVE,0.3038
interpretive_capacity,0.8333333333333333,PRESERVE,0.00025
interpretive_capacity,0.8333333333333333,INVESTIGATE,0.0
interpretive_capacity,0.8333333333333333,EXCAVATE,0.0
interpretive_capacity,0.875,AVOID,0.72101
interpretive_capacity,0.875,OBSERVE,0.27887
interpretive_capacity,0.875,PRESERVE,0.00012
interpretive_capacity,0.875,INVESTIGATE,0.0
interpretive_capacity,0.875,EXCAVATE,0.0
interpretive_capacity,0.9166666666666666,AVOID,0.74483
interpretive_capacity,0.9166666666666666,OBSERVE,0.2551
interpretive_capacity,0.9166666666666666,PRESERVE,7e-05
interpretive_capacity,0.9166666666666666,INVESTIGATE,0.0
interpretive_capacity,0.9166666666666666,EXCAVATE,0.0
interpretive_capacity,0.9583333333333333,AVOID,0.76834
interpretive_capacity,0.9583333333333333,OBSERVE,0.23166
interpretive_capacity,0.9583333333333333,PRESERVE,0.0
interpretive_capacity,0.9583333333333333,INVESTIGATE,0.0
interpretive_capacity,0.9583333333333333,EXCAVATE,0.0
interpretive_capacity,1.0,AVOID,0.79126
interpretive_capacity,1.0,OBSERVE,0.20874
interpretive_capacity,1.0,PRESERVE,0.0
interpretive_capacity,1.0,INVESTIGATE,0.0
interpretive_capacity,1.0,EXCAVATE,0.0
